m,lambda,model
0.832268087969601,5828.59984372453,BSk20
0.872223259801287,4591.01773610805,BSk20
0.912076935080453,3646.19099869868,BSk20
0.951746977705502,2918.69816285782,BSk20
0.99115640174626,2353.9763621986,BSk20
1.03023435113487,1912.18287226443,BSk20
1.06891479646858,1563.98434524106,BSk20
1.10713693283283,1287.59879861988,BSk20
1.14484479887792,1066.72339358718,BSk20
1.18198865707211,889.055229680989,BSk20
1.21852330332718,745.249170662886,BSk20
1.25440843015183,628.15417544794,BSk20
1.28960721939759,532.264132615187,BSk20
1.32408855955644,453.305798596898,BSk20
1.35782657731453,387.943402057842,BSk20
1.39079691280379,333.56315093422,BSk20
1.42298092961025,288.098113158865,BSk20
1.45436379275048,249.907373927821,BSk20
1.48493137181639,217.684081994006,BSk20
1.51467688434035,190.375511621908,BSk20
1.5435922206776,167.13667982216,BSk20
1.57167496973374,147.280551256374,BSk20
1.59892419448232,130.248730334247,BSk20
1.62534081552052,115.584905522219,BSk20
1.65092790524182,102.914299254318,BSk20
1.67569123256271,91.9275246636351,BSk20
1.6996378351955,82.3686639036372,BSk20
1.72277565053116,74.0252444445072,BSk20
1.74511433879538,66.7198609626502,BSk20
1.76666573894413,60.303690482529,BSk20
1.78744122680738,54.6521223569489,BSk20
1.80745404219281,49.6598375389611,BSk20
1.8267179445227,45.2378126091635,BSk20
1.84524749419579,41.3104719839104,BSk20
1.86305781524674,37.8134813098841,BSk20
1.88016402671747,34.6919915829639,BSk20
1.89658216605997,31.8989334821432,BSk20
1.9123286718235,29.3938689795167,BSk20
1.92741973807173,27.1420435174894,BSk20
1.94187214345809,25.1133822894522,BSk20
1.95570242942592,23.2818917997979,BSk20
1.96892740462249,21.6249792447293,BSk20
1.9815635114623,20.1230272556845,BSk20
1.99362763709224,18.7588663213732,BSk20
2.00513597268511,17.5175501028134,BSk20
2.01610521683909,16.385914127156,BSk20
2.02655106747661,15.3524789738885,BSk20
2.03648982078745,14.4070652906439,BSk20
2.04593706779167,13.5407393274313,BSk20
2.05490844916061,12.7455797407675,BSk20
2.06341910103606,12.0145925105785,BSk20
2.07148396977798,11.3415648176202,BSk20
2.07911756514934,10.7209843147192,BSk20
2.086334278398,10.1479287557943,BSk20
2.09314815644597,9.61800816316591,BSk20
2.09957282496639,9.12730736773235,BSk20
2.10562153961323,8.67232427902278,BSk20
2.11130731024172,8.24991217463785,BSk20
2.11664288811111,7.85723992411726,BSk20
2.12164072849061,7.4917576691576,BSk20
2.12631271803208,7.15118458206422,BSk20
2.13067053875531,6.83345352960663,BSk20
2.13472552220866,6.53669835702691,BSk20
2.13848857080757,6.25923763296373,BSk20
2.14197055400885,5.9995268003953,BSk20
2.14518183641764,5.75617647297698,BSk20
2.14813237507418,5.52793115554374,BSk20
2.15083183575118,5.31364887963768,BSk20
2.15328986380897,5.11226728436007,BSk20
2.15551553414848,4.92283640627855,BSk20
2.15751758133573,4.74449440920977,BSk20
2.15930451954706,4.57645031726614,BSk20
2.16088494473205,4.41794524754793,BSk20
2.16226676520234,4.26831828128246,BSk20
2.16345760920291,4.12696861526609,BSk20
2.16446498193908,3.99333261469241,BSk20
2.16529620491904,3.86688102330057,BSk20
2.16595820818672,3.7471458027384,BSk20
2.16645778078302,3.63368170833319,BSk20
2.1668014577573,3.52607813385672,BSk20
2.1669955021653,3.42397318041592,BSk20
2.16704602442758,3.32701904177467,BSk20
0.810000987633193,9259.49478007881,BSk21
0.8636772312762,6778.19387990341,BSk21
0.917272512196564,5034.35454862022,BSk21
0.970586905445402,3790.64635247302,BSk21
1.02343789030664,2891.22582968174,BSk21
1.07566151306161,2232.18328985516,BSk21
1.12710794301721,1743.27068733215,BSk21
1.17764461328218,1376.30287263398,BSk21
1.22715657016435,1097.7935371569,BSk21
1.27554290787418,884.196386067536,BSk21
1.32272038816134,718.741849364973,BSk21
1.36861749355295,589.36924215898,BSk21
1.41317930634454,487.297071402937,BSk21
1.4563631825169,406.074879183853,BSk21
1.49813441555588,340.923025514356,BSk21
1.5384744530559,288.254665707723,BSk21
1.57736994323144,245.366601667292,BSk21
1.61481931045734,210.196687587512,BSk21
1.65082562864379,181.16456585898,BSk21
1.685401243066,157.045738295307,BSk21
1.71856368275819,136.886697426691,BSk21
1.75033318459775,119.940509789977,BSk21
1.7807376382974,105.615440082621,BSk21
1.8098065414308,93.4420519096173,BSk21
1.83757284747514,83.044649927605,BSk21
1.86407037909249,74.1214551971835,BSk21
1.88933567123118,66.4279681944216,BSk21
1.91340784547686,59.7649594861935,BSk21
1.93632445233683,53.9701670664926,BSk21
1.9581247463009,48.9099331875729,BSk21
1.97884837884989,44.4738494394326,BSk21
1.99853493818508,40.5703279405429,BSk21
2.01722301938929,37.1231813485983,BSk21
2.03495077968291,34.0686269441163,BSk21
2.05175580429859,31.3530483855303,BSk21
2.06767546054966,28.9311226609179,BSk21
2.08274598540886,26.7644989097078,BSk21
2.09700238520646,24.8206081871894,BSk21
2.11047840997507,23.0716901795149,BSk21
2.12320657066807,21.4939955858322,BSk21
2.13521837794662,20.0671086555564,BSk21
2.1465453038496,18.773312870735,BSk21
2.15721692764183,17.5973747587347,BSk21
2.16726086776081,16.5261708835957,BSk21
2.17670379857489,15.5482719499842,BSk21
2.18557339827833,14.653501886306,BSk21
2.19389398512024,13.8331785520779,BSk21
2.20168848033088,13.0797236567878,BSk21
2.20898111569003,12.386261192772,BSk21
2.21579380047095,11.7468480952252,BSk21
2.22214639008097,11.1563342130857,BSk21
2.22806008140532,10.6099604158746,BSk21
2.23355379242284,10.1036210075932,BSk21
2.23864500735042,9.63371963663964,BSk21
2.24335254254935,9.19686106970033,BSk21
2.24769220442905,8.79020512796887,BSk21
2.25168005185092,8.41112747436778,BSk21
2.25533195498293,8.05722251955856,BSk21
2.25866161614586,7.72646701612851,BSk21
2.26168388928663,7.41687134031737,BSk21
2.26441139785358,7.12679365368527,BSk21
2.26685723633418,6.85464978470848,BSk21
2.26903358485735,6.59903835009515,BSk21
2.27095180355827,6.35872474780398,BSk21
2.27262346076089,6.13250119193302,BSk21
2.27405877094005,5.9193804430233,BSk21
2.27526835709179,5.71834577518153,BSk21
2.27626163128768,5.52858365762205,BSk21
2.2770481996839,5.34924890444102,BSk21
2.27763682577693,5.17965442015551,BSk21
2.27803618976546,5.01910275160098,BSk21
2.278254437466,4.86700440455996,BSk21
2.27829945736081,4.72278457348343,BSk21
0.831424885686808,11412.0017101483,BSR2
0.866429402388396,9332.59683613423,BSR2
0.901601994961287,7672.71678368392,BSR2
0.936884922552504,6340.75525169822,BSR2
0.972220432342679,5266.49019435433,BSR2
1.00755251300008,4395.75838389132,BSR2
1.04282557684914,3686.60226160943,BSR2
1.07798686192641,3106.31427258246,BSR2
1.11298496649719,2629.30202364977,BSR2
1.14777118144499,2235.42966527846,BSR2
1.18229824629467,1908.79559952608,BSR2
1.21652168080898,1636.7734449963,BSR2
1.25039986363331,1409.29465685165,BSR2
1.28389333426395,1218.30058570896,BSR2
1.31696652343554,1057.30582178227,BSR2
1.34958589849404,921.078773738129,BSR2
1.38172094779402,805.378127906084,BSR2
1.41334402296322,706.752680493339,BSR2
1.44442983684369,622.384703888487,BSR2
1.47495679434682,549.961782635439,BSR2
1.50490571131376,487.582250296424,BSR2
1.53425989507077,433.676242508439,BSR2
1.56300519962615,386.943049759244,BSR2
